	LSC159	LSC177	LSCabb1	LSCabb2	PKC19
RBM8A	353	281	271	257	248
LIX1L	171	122	140	197	100
POLR3GL	59	43	40	59	74
TXNIP	106	64	951	1760	779
HFE2	0	0	0	0	1
PLEKHG5	70	35	18	56	40
RP11-458D21.1	0	0	0	0	0
NBPF10	32	26	15	40	31
NOTCH2NL	13	10	11	8	9
NUDT4P2	0	1	0	0	0
LOC102724364	33	41	33	54	37
LOC100996756	1	0	0	0	0
NBPF12	25	20	11	23	24
NBPF13P	1	0	0	0	0
PRKAB2	123	93	105	124	91
CHD1L	201	162	128	229	141
BCL9	71	59	25	79	15
ACP6	11	8	9	19	3
LINC01128	16	7	13	8	18
GPR89B	2	4	4	3	6
NOL9	143	121	58	99	69
RNVU1-7	0	0	1	0	0
NBPF11	24	51	19	51	49
RP4-565E6.1	2	0	1	0	0
LOC284561	21	10	10	16	0
LOC101929325	1	0	0	0	0
RP6-206I17.2	1	1	1	1	0
LINC01138	2	2	1	3	2
NBPF14	126	127	109	156	176
LOC100996763	0	2	0	0	0
ZBTB48	5	3	2	2	3
NUDT4P1	1	1	1	1	0
PDE4DIP	6	2	3	9	4
NBPF9	55	0	25	27	0
LOC101060398	1	0	0	0	0
LOC102723348	0	0	0	0	0
LOC653513	0	0	0	0	2
NBPF19	0	45	23	57	65
KLHL21	135	143	49	151	140
LOC102723863	2	3	0	0	1
PHF13	138	90	57	98	119
LINC00869	1	0	1	3	4
THAP3	1	0	0	0	0
HIST2H2BF	0	0	3	0	0
HIST2H2BC	0	0	2	0	0
HIST2H2BE	12	4	4	8	3
HIST2H2AC	7	10	3	2	3
BOLA1	10	16	12	20	36
SV2A	96	48	21	41	13
SF3B4	551	532	53	457	132
MTMR11	0	3	1	0	0
OTUD7B	70	52	34	55	50
DNAJC11	22	15	9	11	9
VPS45	78	85	67	125	90
PLEKHO1	9	2	2	0	6
ANP32E	351	391	346	451	350
CA14	3	1	1	1	3
APH1A	106	107	68	157	138
CAMTA1	71	78	26	88	90
C1orf54	2	2	0	1	4
C1orf51	16	10	9	22	14
MRPS21	704	451	579	584	648
PRPF3	141	125	47	142	98
RPRD2	293	259	131	247	192
TARS2	20	36	17	20	22
ECM1	24	34	3	11	40
ADAMTSL4	2	2	0	4	1
ADAMTSL4-AS1	2	3	5	2	3
MCL1	1092	1022	798	1350	811
ENSA	186	222	83	233	175
GOLPH3L	83	68	80	101	84
HORMAD1	0	0	2	0	0
CTSS	21	9	9	9	3
CTSK	99	297	60	90	83
ARNT	77	59	71	91	75
SETDB1	70	57	40	59	69
CERS2	314	341	138	459	249
ANXA9	3	3	1	1	7
FAM63A	5	2	3	7	9
PRUNE	45	28	33	62	50
VAMP3	443	287	275	348	439
C1orf56	6	6	3	2	4
CDC42SE1	116	88	57	100	104
MLLT11	124	105	91	147	80
GABPB2	16	5	6	8	11
PER3	24	28	16	22	42
SEMA6C	0	0	2	1	1
SCNM1	1	0	0	1	2
VPS72	179	162	112	279	177
PIP5K1A	108	93	48	96	55
PSMD4	96	68	35	80	77
LOC100507670	0	1	2	1	0
ZNF687	3	3	1	6	2
PI4KB	35	46	18	53	32
RFX5	85	64	52	75	52
LOC101927886	0	0	0	1	2
SELENBP1	7	4	0	9	18
PSMB4	702	349	549	339	645
POGZ	216	143	130	224	116
CGN	8	4	3	2	8
TUFT1	197	127	83	88	215
SNX27	140	124	104	157	128
CELF3	1	0	0	0	0
TNFRSF9	1	1	1	0	0
RIIAD1	0	0	0	0	1
MRPL9	226	167	156	169	159
OAZ3	6	2	0	2	0
TDRKH	4	3	2	1	3
LOC101927929	2	0	2	1	4
RORC	0	0	0	0	1
PARK7	499	312	319	335	404
LOC100132111	0	0	0	0	0
THEM5	6	4	2	2	0
THEM4	95	80	26	41	42
S100A10	4371	2585	3588	3487	6891
S100A11	4660	3931	1735	8061	6584
TCHH	0	1	0	0	3
HRNR	1	0	0	0	0
FLG	1	2	1	2	0
FLG-AS1	11	0	5	7	7
CRCT1	0	0	0	0	10
LCE3D	0	0	0	0	1
ERRFI1	322	285	570	513	481
LCE2C	0	0	0	0	1
KPRP	0	0	0	0	2
LCE1F	0	0	0	0	1
LCE1E	4	2	1	2	10
LCE1C	4	1	2	1	34
LCE1B	1	1	0	1	2
LCE6A	0	0	0	0	3
SMCP	0	0	0	0	1
IVL	2	0	3	2	9
LOC101927988	1	1	0	0	2
SPRR1A	1	0	0	0	20
SPRR3	0	0	1	0	0
SPRR1B	36	68	22	39	861
SPRR2D	0	6	0	0	73
SPRR2A	1	2	0	4	56
SPRR2E	0	0	0	0	2
RP1-140J1.1	1	0	0	0	0
PRR9	0	0	0	0	5
PGLYRP4	1	0	0	0	0
S100A9	14	4	9	11	0
SLC45A1	0	0	0	0	0
S100A8	26	16	21	22	36
S100A6	5172	2060	2165	3526	3232
S100A5	0	0	0	2	0
S100A4	60	46	46	67	17
S100A3	9	3	3	10	8
S100A2	20732	12223	10138	12317	10607
S100A16	2764	2174	1134	2554	2694
S100A14	2547	2423	797	2917	2604
RERE	217	128	115	217	105
S100A13	89	67	17	81	49
CHTOP	222	220	131	180	254
SNAPIN	166	143	93	185	142
ILF2	538	461	350	496	467
INTS3	35	16	20	29	24
SLC27A3	19	4	10	10	25
GATAD2B	137	129	72	125	124
LOC101928059	2	0	0	2	0
DENND4B	2	0	0	0	0
CRTC2	15	12	7	16	11
SLC39A1	175	149	69	195	186
CREB3L4	15	10	4	15	13
JTB	478	361	198	304	337
RAB13	74	49	23	104	94
RPS27	5	1	0	7	3
NUP210L	0	0	1	0	0
TPM3	1597	1498	821	1740	1006
ENO1	2613	1675	888	1981	973
C1orf43	400	348	279	425	421
UBAP2L	109	84	28	55	31
HAX1	108	103	57	88	92
AQP10	0	1	2	0	0
ATP8B2	30	27	24	52	62
LOC101928101	1	0	0	0	0
IL6R	129	80	63	107	143
UBE2Q1	236	181	158	244	199
CHRNB2	1	0	0	0	0
ADAR	585	385	223	556	534
ENO1-AS1	1	1	1	2	1
KCNN3	0	0	0	1	2
PMVK	34	20	6	30	23
PBXIP1	13	7	10	15	32
PYGO2	63	59	21	117	55
LOC101928120	1	0	3	1	2
SHC1	301	247	225	473	127
CKS1B	381	304	385	540	577
FLAD1	18	10	5	14	12
ZBTB7B	0	0	0	1	3
SLC2A5	2	0	2	1	2
ADAM15	1	1	0	1	0
EFNA4	11	15	4	18	29
EFNA3	8	18	6	23	71
EFNA1	73	39	36	27	113
SLC50A1	53	47	29	58	65
DPM3	27	16	12	14	33
KRTCAP2	753	714	312	926	496
GPR157	0	1	1	0	0
TRIM46	10	11	2	15	0
MUC1	2	0	0	0	0
THBS3	17	8	3	8	5
MTX1	193	158	67	184	134
GBAP1	1	0	0	1	0
GBA	1	0	0	0	1
FAM189B	71	67	56	86	88
SCAMP3	96	95	32	90	55
CLK2	89	56	33	89	59
HCN3	0	1	0	2	1
PKLR	1	0	0	0	0
FDPS	168	120	49	146	81
RUSC1	203	206	71	304	173
H6PD	33	16	19	40	54
ASH1L	441	287	195	264	247
ASH1L-AS1	6	6	2	8	6
MSTO1	17	6	9	9	11
YY1AP1	45	32	38	26	52
SPSB1	108	64	25	84	110
DAP3	254	177	186	213	216
LOC100506022	0	0	0	1	0
GON4L	34	21	12	16	15
SYT11	6	0	4	6	3
RIT1	58	44	37	62	38
KIAA0907	44	20	64	76	78
SLC25A33	37	58	29	48	67
ARHGEF2	53	61	43	84	41
TMEM201	10	15	9	26	7
SSR2	360	278	114	212	156
UBQLN4	0	1	0	0	0
LAMTOR2	63	35	26	56	111
RAB25	168	112	59	177	124
MEX3A	14	10	10	15	6
LMNA	358	191	132	330	402
SEMA4A	91	52	32	114	20
SLC25A44	50	41	24	59	42
PMF1	1	0	0	0	0
PAQR6	6	2	4	4	6
PIK3CD	137	62	38	78	23
SMG5	20	16	10	33	21
TMEM79	19	10	5	8	84
C1orf85	42	51	13	46	35
CCT3	1046	639	885	1053	879
TSACC	1	0	3	0	2
MEF2D	84	62	42	96	70
IQGAP3	77	73	78	120	87
APOA1BP	68	44	33	68	55
GPATCH4	115	113	55	89	96
BCAN	2	1	0	0	1
NES	2	1	0	3	0
CRABP2	63	76	71	268	128
ISG20L2	206	195	65	136	89
RRNAD1	47	29	23	34	62
MRPL24	92	50	43	35	87
CLSTN1	788	631	235	606	347
HDGF	1776	1682	679	1856	1355
LOC102724206	0	1	0	0	0
PRCC	114	80	41	76	56
SH2D2A	28	10	6	17	6
PEAR1	78	61	52	38	14
LRRC71	0	0	0	0	0
CTNNBIP1	395	325	159	323	188
ARHGEF11	89	54	23	69	47
ETV3	155	145	101	145	199
LZIC	17	14	6	10	11
KIRREL	262	186	162	241	105
RP11-404O13.1	9	1	3	2	0
CD1D	11	8	8	9	1
SPTA1	1	0	0	0	0
NMNAT1	30	20	25	30	34
PYHIN1	0	0	0	0	1
IFI16	485	379	535	529	711
AIM2	0	0	0	0	0
SAMD11	1	0	0	0	0
DUSP23	53	37	15	58	41
CCDC19	1	0	0	0	2
TAGLN2	980	821	310	1025	812
IGSF9	68	20	18	29	94
SLAMF9	1	0	1	2	0
LINC01133	24	21	40	71	176
PIGM	61	58	29	50	22
KCNJ10	0	1	0	0	0
RBP7	1	2	3	1	6
IGSF8	105	62	28	117	93
ATP1A2	0	0	1	0	0
UBE4B	184	163	156	246	122
PEA15	273	192	92	296	271
DCAF8	115	75	42	110	98
PEX19	143	99	78	186	106
COPA	79	32	27	13	23
NCSTN	286	245	110	315	157
NHLH1	4	2	0	1	1
VANGL2	83	39	47	133	133
KIF1B	180	121	83	144	87
SLAMF7	23	15	5	7	2
NOC2L	6	3	1	12	1
RP11-544M22.1	0	0	0	1	0
PGD	463	398	163	425	371
F11R	561	334	254	359	322
TSTD1	250	120	60	182	163
USF1	4	0	5	3	5
APITD1-CORT	0	0	0	0	1
PVRL4	7	2	2	9	51
KLHDC9	3	3	1	7	10
PFDN2	530	410	409	731	546
NIT1	1	1	1	1	0
DEDD	0	0	0	0	1
UFC1	125	80	66	85	99
USP21	37	20	13	38	26
PPOX	3	0	1	2	2
B4GALT3	1	0	0	0	2
ADAMTS4	3	1	0	0	1
NDUFS2	199	247	150	329	301
FCER1G	4	4	1	0	1
TOMM40L	0	0	0	1	0
KLHL17	3	1	5	6	1
DFFA	78	45	26	59	30
MPZ	2	1	0	2	0
SDHC	82	70	66	86	88
C1orf192	1	1	0	0	1
PEX14	20	10	2	11	14
FCGR2A	0	0	0	1	0
HSPA6	3	1	0	1	0
CASZ1	19	7	24	28	74
HSPA7	0	0	0	0	0
RPL31P11	4	3	12	3	14
FCRLA	0	1	2	0	0
FCRLB	6	5	6	5	2
DUSP12	71	69	51	67	70
ATF6	298	210	160	182	153
NOS1AP	1	0	5	5	3
C1orf226	3	0	4	13	3
UHMK1	580	526	501	598	536
TARDBP	213	179	139	203	174
UAP1	250	285	304	409	312
DDR2	4	10	2	2	5
MASP2	4	2	1	3	2
HSD17B7	22	8	8	11	6
C1orf110	1	0	0	0	0
RGS4	1	2	0	0	0
RGS5	2	15	7	6	14
NUF2	62	55	80	64	122
PBX1	58	51	39	73	81
SRM	415	298	162	357	336
EXOSC10	97	95	70	71	69
RP11-280O1.2	1	0	1	0	0
MGST3	942	699	413	953	692
ALDH9A1	364	265	153	336	204
LOC440700	0	1	0	0	0
TMCO1	495	479	293	487	390
RP11-466F5.8	0	0	0	0	1
UCK2	222	157	99	135	108
FAM78B	0	0	0	0	0
POGK	154	157	78	197	121
TADA1	34	34	44	40	43
LOC101928459	0	0	1	0	0
LOC101928484	0	0	0	0	1
POU2F1	142	84	92	123	83
MTOR	84	68	41	47	58
CREG1	77	66	77	75	106
RCSD1	0	0	0	0	0
MPZL1	442	328	235	328	331
ADCY10	0	0	0	1	0
MPC2	228	163	154	239	266
DCAF6	194	173	177	267	187
GPR161	43	38	24	27	28
TIPRL	262	245	202	256	228
SFT2D2	7	6	7	6	3
ANKRD36BP1	4	0	1	1	0
TBX19	2	0	1	5	3
UBIAD1	1	1	0	2	2
XCL1	0	0	1	0	0
ATP1B1	237	192	130	170	117
NME7	57	66	67	83	45
BLZF1	24	16	12	12	22
CCDC181	1	1	2	0	1
SLC19A2	38	45	35	47	63
F5	1	0	0	0	0
PTCHD2	2	2	0	0	0
METTL18	26	22	15	21	17
C1orf112	23	10	21	15	27
SCYL3	24	6	14	16	16
FBXO2	2	1	2	5	0
KIFAP3	94	98	81	135	98
GORAB	27	24	22	34	31
PRRX1	0	4	0	1	0
FBXO44	16	4	5	9	12
MROH9	0	0	0	0	0
FMO3	0	0	1	2	0
FMO6P	0	0	0	0	0
FMO1	0	0	1	0	0
FMO4	11	12	8	9	18
PRRC2C	957	733	640	712	619
VAMP4	37	18	35	48	58
METTL13	49	42	38	48	62
DNM3	7	8	0	7	5
SUCO	306	163	169	244	91
FASLG	0	0	0	1	0
TNFSF4	17	9	17	15	1
LOC100506023	1	2	0	0	0
PRDX6	602	478	495	656	657
ANKRD45	1	1	4	0	1
KLHL20	149	135	149	184	115
CENPL	27	26	19	16	23
DARS2	71	69	70	91	67
GAS5-AS1	4	2	2	1	0
GAS5	223	170	181	131	191
ZBTB37	9	1	2	1	6
RC3H1	33	32	5	18	8
FBXO6	11	8	10	5	21
RABGAP1L	93	94	58	89	80
CACYBP	306	401	344	449	399
MRPS14	133	107	85	94	91
KIAA0040	160	129	68	151	92
RFWD2	115	84	70	84	72
PAPPA2	23	16	2	8	0
MAD2L2	58	41	9	60	43
SEC16B	1	1	3	6	1
LOC730102	21	33	18	43	8
RASAL2-AS1	1	6	0	3	2
RASAL2	379	300	294	279	235
C1orf220	1	0	0	0	1
LOC646976	0	0	1	0	0
RALGPS2	116	81	81	109	115
FAM20B	135	114	118	124	147
TOR3A	54	34	33	46	69
ABL2	298	216	151	247	246
AGTRAP	99	63	20	53	48
SOAT1	189	138	139	156	165
AXDND1	1	0	1	1	0
TOR1AIP2	261	256	232	297	248
TOR1AIP1	340	290	178	201	160
LOC101928933	0	0	0	0	0
CEP350	318	212	167	160	216
PLEKHN1	1	2	1	3	0
QSOX1	101	61	37	127	37
FLJ23867	26	12	6	16	27
LHX4	1	0	0	0	0
ACBD6	214	112	149	122	163
XPR1	265	212	239	345	197
KIAA1614	0	0	0	0	1
LOC102724791	8	3	3	6	1
STX6	371	272	232	347	170
MR1	61	38	44	54	39
IER5	431	251	280	344	189
RP11-540K16.1	0	0	0	1	0
GLUL	595	388	595	877	1672
TEDDM1	0	0	0	2	0
RNASEL	30	15	18	32	11
RGS16	2	1	5	9	0
MTHFR	3	2	2	5	5
NPL	11	9	6	16	19
DHX9	560	489	433	470	449
SHCBP1L	0	0	0	0	1
LAMC1	553	385	314	451	247
LAMC2	1228	520	251	203	131
NMNAT2	1	0	0	0	0
SMG7-AS1	0	1	0	0	2
SMG7	225	189	89	216	124
NCF2	29	12	5	7	12
ARPC5	1150	656	1031	1018	892
RGL1	11	3	6	10	3
TSEN15	166	119	180	156	140
C1orf21	112	86	61	74	239
CLCN6	4	5	1	1	1
EDEM3	215	164	189	180	145
FAM129A	354	247	112	153	338
RNF2	141	105	68	122	62
TRMT1L	79	59	114	136	86
SWT1	9	11	15	10	14
IVNS1ABP	287	229	310	372	259
LOC102724641	0	0	0	0	0
GS1-279B7.1	1	0	0	0	0
LOC102724897	0	2	0	3	0
HMCN1	10	5	3	5	1
PRG4	0	1	1	0	0
TPR	363	278	253	177	212
NPPA-AS1	1	1	0	1	0
C1orf27	89	55	61	60	80
NPPA	1	0	0	0	0
PTGS2	209	277	179	124	34
PLA2G4A	29	45	30	45	97
RGS18	0	0	1	0	0
RNU5E-1	1	0	0	0	0
MIR4426	0	0	1	2	1
RGS2	18	19	39	41	93
UCHL5	248	276	255	339	260
KIAA2013	110	100	52	112	108
TROVE2	159	128	133	126	136
PLOD1	251	221	95	290	224
GLRX2	126	119	96	147	118
MFN2	377	370	270	417	296
CDC73	270	273	220	257	156
KCNT2	0	0	0	0	0
CFH	76	39	38	28	0
CFHR3	0	0	0	1	0
ASPM	199	190	212	156	255
ZBTB41	105	62	130	113	115
CRB1	0	0	0	0	0
DENND1B	55	39	49	35	59
MIIP	7	4	2	8	15
C1orf53	10	3	5	2	0
NEK7	80	87	140	128	144
MIR181A1HG	0	1	0	0	0
PERM1	19	7	7	8	10
LINC00862	1	2	0	0	0
ZNF281	450	395	331	447	206
KIF14	220	233	265	251	197
DDX59	19	16	10	10	15
RP11-92G12.3	8	8	2	7	4
CAMSAP2	834	686	615	771	410
C1orf106	0	5	1	3	1
KIF21B	7	8	6	8	4
ASCL5	0	0	0	0	0
TMEM9	105	74	91	99	113
PKP1	343	310	117	276	1482
TNNT2	0	0	0	0	1
LAD1	744	608	140	755	707
LOC101929343	6	2	2	5	0
TNNI1	8	3	0	4	1
PHLDA3	137	78	55	90	89
CSRP1	236	149	51	182	52
RPS10P7	5	1	4	5	5
NAV1	10	2	0	3	1
IPO9-AS1	0	2	0	0	0
IPO9	322	217	161	250	243
HES4	1	0	1	0	3
SHISA4	5	1	2	7	7
TIMM17A	389	319	260	335	233
RNPEP	4	4	5	2	2
VPS13D	216	171	110	132	141
ELF3	1	0	3	0	1
GPR37L1	2	0	2	0	0
ARL8A	193	105	80	174	158
UBE2T	120	103	93	137	113
PPP1R12B	49	28	47	67	24
DHRS3	20	8	8	20	21
SYT2	11	3	0	6	2
KDM5B	385	265	264	298	222
PCAT6	19	7	1	13	5
RP11-480I12.7	20	30	11	44	9
RABIF	88	60	33	73	52
KLHL12	107	76	82	168	154
ADIPOR1	299	283	232	495	539
CYB5R1	164	137	65	180	380
TMEM183A	33	33	23	35	44
PPFIA4	0	1	1	0	4
RP11-134P9.3	0	0	0	0	0
BTG2	203	186	202	637	415
FMOD	1	0	0	4	0
PRELP	0	0	0	0	1
ATP2B4	95	54	26	47	46
LAX1	0	0	0	0	0
ZC3H11A	328	278	284	218	342
SNRPE	423	276	310	321	245
SOX13	35	37	25	61	15
ETNK2	47	21	20	52	40
REN	0	0	0	0	0
PLEKHA6	9	3	2	5	25
PPP1R15B	37	21	18	19	19
PIK3C2B	13	7	13	9	47
MDM4	4	4	1	3	5
NFASC	1	0	0	0	6
HNRNPCL1	1	0	0	0	0
TMEM81	8	5	3	11	3
RBBP5	81	68	55	110	92
DSTYK	133	118	75	134	107
TMCC2	10	6	6	19	7
NUAK2	71	39	32	71	32
RP11-576D8.4	1	0	0	0	0
CDK18	7	2	2	16	5
LOC284578	0	0	1	0	0
ELK4	31	16	6	22	8
SLC45A3	3	9	10	10	2
NUCKS1	2473	2096	1709	2714	2177
RAB7L1	134	106	89	129	107
SLC41A1	72	35	39	48	43
LOC101059976	1	3	1	4	1
PM20D1	0	1	0	2	0
LOC284581	0	10	7	9	0
ISG15	4	3	2	5	68
RAB7B	120	49	71	141	63
CTSE	1	1	4	0	1
FAM72A	0	0	3	0	2
SRGAP2	35	36	20	37	37
IKBKE	37	31	15	43	14
RASSF5	10	10	7	6	35
EIF2D	71	47	73	59	109
DYRK3	20	11	12	15	23
MAPKAPK2	197	117	110	158	189
IL20	6	1	4	1	31
IL24	16	2	0	1	7
FAIM3	38	24	11	27	23
FCAMR	0	0	0	0	1
C1orf116	295	258	95	234	220
YOD1	56	67	48	49	67
PFKFB2	19	18	11	13	35
CD55	33	49	35	39	147
AGRN	408	126	164	246	253
CR1	1	0	0	0	1
CD46	530	345	332	343	245
MIR29C	0	0	0	1	0
LOC101929385	0	0	0	0	1
CD34	1	0	0	0	0
PLXNA2	328	164	107	170	95
LOC100509303	0	0	0	0	0
LOC101929476	2	1	0	7	0
MIR205HG	2815	1198	1411	1103	2419
MIR205	1	2	0	1	1
CAMK1G	2	3	0	1	1
LAMB3	1648	1151	673	1036	658
LOC101930114	0	1	3	0	1
G0S2	193	543	336	589	5
HSD11B1	0	1	0	1	0
TRAF3IP3	13	12	8	21	19
C1orf74	18	15	9	23	21
IRF6	506	487	435	1051	1123
DIEXF	57	58	36	62	64
SYT14	0	0	0	0	7
LRRC38	0	0	0	0	2
SERTAD4-AS1	21	20	9	37	5
SERTAD4	10	8	4	14	2
HHAT	3	0	0	6	9
KCNH1	0	0	0	0	0
RCOR3	45	43	44	44	53
TRAF5	6	4	11	17	11
LINC00467	20	18	27	18	11
SLC30A1	45	30	15	16	20
NEK2	5	6	6	5	12
PDPN	181	153	106	141	276
RP11-122M14.1	0	1	0	1	0
LPGAT1	391	272	167	289	208
INTS7	32	34	16	33	33
DTL	135	111	60	91	47
PPP2R5A	151	160	122	166	199
TMEM206	31	39	23	48	30
NENF	34	29	20	35	67
ATF3	4	5	13	19	28
NSL1	168	141	126	138	102
TATDN3	39	26	23	33	33
FLVCR1-AS1	1	1	4	9	3
PRDM2	24	11	4	9	20
FLVCR1	81	51	53	76	76
VASH2	2	0	1	3	3
ANGEL2	95	81	61	115	95
RPS6KC1	71	67	29	73	43
PROX1	15	2	11	9	3
SMYD2	121	134	137	204	136
PTPN14	88	42	43	67	39
CENPF	471	471	523	401	491
KCTD3	172	150	141	163	130
USH2A	2	0	0	0	0
ESRRG	2	2	0	2	0
GPATCH2	46	36	20	31	27
SPATA17	1	3	5	3	3
RRP15	245	215	200	199	172
RP11-224O19.2	1	1	2	0	1
TGFB2	164	38	68	96	16
RP11-135J2.4	1	0	0	1	0
LYPLAL1	67	84	107	109	120
LOC101929666	0	0	1	0	0
LOC102723886	0	0	0	0	0
LOC101929713	0	0	2	1	1
EPRS	765	759	610	670	577
BPNT1	58	55	34	55	36
IARS2	295	310	282	440	273
RAB3GAP2	331	238	278	318	229
MARK1	122	88	115	118	48
C1orf115	10	3	9	6	0
MARC2	6	5	14	10	2
KAZN	1	1	1	2	6
MARC1	4	20	17	29	4
HLX	1	0	1	0	0
DUSP10	39	42	27	57	9
HHIPL2	2	1	0	1	0
TAF1A	6	10	16	4	4
LOC100506161	0	2	0	0	0
MIA3	231	234	135	152	137
AIDA	45	29	62	18	42
BROX	187	186	167	232	205
LOC102724017	0	0	1	0	0
DISP1	7	0	2	5	6
TLR5	3	1	2	3	10
SUSD4	5	3	0	5	5
CAPN2	1567	917	1741	1367	1011
TP53BP2	65	55	53	40	50
LOC101060626	2	0	0	0	0
TMEM51	130	96	42	85	57
FBXO28	123	126	107	148	124
DEGS1	193	138	123	137	645
NVL	25	24	14	24	18
CNIH4	294	302	128	334	218
WDR26	312	269	248	342	285
LOC101928291	1	0	0	0	0
CNIH3	4	0	3	2	0
DNAH14	23	17	17	23	6
LBR	264	220	199	228	165
ENAH	495	410	451	453	785
SRP9	422	550	647	673	795
EPHX1	15	13	3	13	19
TMEM63A	10	3	3	4	4
PYCR2	103	86	103	136	88
SDE2	130	130	101	147	102
H3F3A	1	2	4	0	0
ACBD3	307	266	211	277	210
LOC101927247	0	0	1	0	0
MIXL1	0	0	0	0	1
LIN9	49	35	35	69	48
PARP1	552	429	377	544	383
ITPKB	24	19	11	34	14
PSEN2	26	12	14	19	11
ADCK3	8	7	11	17	4
CDC42BPA	211	158	123	163	83
ZNF678	0	0	0	1	0
JMJD4	1	0	0	0	0
SNAP47	73	61	38	71	75
WNT3A	0	0	0	0	1
LOC100506571	0	0	0	0	0
ARF1	2110	1865	1339	2872	1714
C1orf35	48	25	34	22	64
MRPL55	39	20	18	25	34
EFHD2	461	264	110	347	81
GUK1	193	123	148	147	442
GJC2	0	0	0	3	0
IBA57-AS1	1	1	0	0	0
C1orf145	1	1	0	1	0
OBSCN	1	2	0	4	0
CASP9	12	8	8	13	8
TRIM11	86	49	30	68	87
TRIM17	0	0	0	1	0
HIST3H2BB	0	0	1	0	0
RNF187	293	200	98	261	226
RHOU	2	4	1	3	6
RAB4A	355	274	190	411	175
CCSAP	53	46	41	49	44
ACTA1	2	1	0	0	0
NUP133	133	113	110	111	105
RP4-613A2.1	0	0	0	1	1
DNAJC16	105	73	72	125	71
ABCB10	81	72	113	101	77
TAF5L	77	63	56	45	57
URB2	67	66	29	37	30
GALNT2	1009	753	399	814	262
COG2	55	57	28	49	34
LOC100288175	3	0	1	0	0
C1orf198	66	62	44	60	100
TTC13	16	11	9	17	29
AGMAT	4	5	4	7	1
ARV1	65	49	64	51	112
LOC102724026	0	0	0	0	4
FAM89A	17	18	5	15	61
DDI2	4	4	1	4	2
TRIM67	0	0	0	0	0
C1orf131	65	55	56	49	76
GNPAT	99	60	65	104	94
RSC1A1	9	10	5	5	5
EXOC8	105	74	47	105	64
SPRTN	5	1	5	2	9
EGLN1	3	2	2	2	2
PLEKHM2	120	79	34	103	56
SLC25A34	2	3	3	3	3
SIPA1L2	8	5	3	6	10
MAP10	7	2	8	5	4
NTPCR	52	73	83	108	106
PCNXL2	55	32	11	26	16
KIAA1804	33	22	31	51	37
KCNK1	49	44	63	72	179
SLC35F3	45	23	12	8	12
LOC101927765	3	6	4	8	3
COA6	80	69	144	97	166
TARBP1	88	59	86	96	46
RP5-855F14.1	1	0	0	1	0
IRF2BP2	502	373	543	750	668
FBLIM1	987	732	314	666	394
RP4-781K5.4	0	0	0	0	0
PP2672	0	0	1	0	0
TOMM20	417	349	324	264	421
RBM34	125	104	85	104	106
ARID4B	169	151	170	191	130
GGPS1	147	126	147	208	173
TBCE	13	8	14	11	14
B3GALNT2	12	8	4	4	7
LYST	113	56	73	84	407
NID1	1	3	0	1	33
GPR137B	5	2	3	4	0
ERO1LB	3	2	1	5	3
EDARADD	58	34	21	40	16
LGALS8	9	9	2	2	4
HEATR1	212	177	109	121	115
MTR	193	124	130	118	102
MT1HL1	0	0	0	1	0
C1orf159	1	3	1	9	1
RP11-193H5.1	0	0	0	1	0
LINC01139	0	1	0	0	0
RPS7P5	1	0	1	0	0
FMN2	0	0	1	0	0
RGS7	0	0	0	0	0
FH	222	268	221	353	242
KMO	2	2	7	1	3
OPN3	14	3	3	5	9
WDR64	2	0	0	0	0
EXO1	29	33	22	19	24
PLD5	10	3	9	6	44
CEP170	284	189	232	211	107
UQCRHL	1	0	6	3	3
SDCCAG8	29	17	9	15	6
FLJ37453	22	8	10	12	10
SPEN	615	432	256	339	333
AKT3	20	10	7	13	0
ZBTB18	63	57	36	66	22
ZBTB17	29	21	28	41	51
ADSS	241	197	224	264	179
C1orf101	1	1	0	0	0
DESI2	268	232	184	165	216
COX20	65	41	16	27	12
HNRNPU-AS1	5	2	3	2	6
HNRNPU	1278	1397	1062	1518	941
LOC101928068	1	2	0	2	0
EFCAB2	13	11	2	5	4
KIF26B	8	2	7	6	6
SMYD3	60	32	29	47	30
TFB2M	76	77	53	58	54
CNST	40	24	38	33	37
SCCPDH	60	40	71	74	21
KIF28P	2	1	2	0	0
AHCTF1	71	60	102	60	73
ZNF670-ZNF695	0	0	0	0	0
ZNF670	1	0	0	0	0
ZNF669	10	7	2	8	1
C1orf229	1	0	0	0	0
ZNF124	8	5	0	7	0
ZNF496	35	20	13	21	22
NLRP3	0	0	4	1	0
TRIM58	0	1	0	0	0
OR2W3	0	0	0	0	0
FAM131C	3	1	2	4	1
SH3BP5L	6	2	3	2	6
ZNF672	29	19	9	28	32
ZNF692	9	6	11	14	9
PGBD2	16	16	8	10	11
EPHA2	509	412	311	642	270
LOC101927479	0	1	0	0	0
ARHGEF19	50	24	13	53	42
RSG1	3	1	0	1	1
FBXO42	64	43	32	47	50
SZRD1	9	5	5	9	9
NECAP2	163	136	76	155	102
CROCCP3	6	4	2	4	4
LOC101060085	1	2	1	2	2
NBPF1	2	0	0	0	0
CROCCP2	38	17	44	48	53
LOC101927663	8	1	2	5	3
MST1P2	0	0	0	0	1
MST1L	0	0	0	2	2
CROCC	23	14	10	23	41
MFAP2	1	0	0	1	2
ATP13A2	66	37	16	42	43
SDHB	579	298	394	316	552
PADI2	0	0	0	0	0
PADI1	0	0	1	0	0
